URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
china-construction-bank,China Construction Bank,,,,
agricultural-bank-of-china,Agricultural Bank of China,,,,
jpmorgan-chase,JPMorgan Chase,JPMorgan,Jp-Morgan,JP-Morgan,Chase
jpmorgan,,,,,
jp-morgan,,,,,
berkshire-hathaway,Berkshire Hathaway,,,,
exxon-mobil,Exxon Mobil,Exxon,,,
exxon,,,,,
general-electric,General Electric,GE,,,
wells-fargo,Wells Fargo,,,,
bank-of-china,Bank of China,,,,
petrochina,PetroChina,,,,
royal-dutch-shell,Royal Dutch Shell,Shell,,,
shell,,,,,
toyota-motor,Toyota Motor,Toyota,,,
toyota,,,,,
bank-of-america,Bank of America,,,,
hsbc-holdings,HSBC Holdings,HSBC,,,
hsbc,,,,,
apple,Apple,,,,
citigroup,Citigroup,Citi,Citibank,Citigroup,
citi,,,,,
bp,BP,,,,
chevron,Chevron,,,,
volkswagen-group,Volkswagen Group,VW,Vw,Volkswagen,
volkswagen,,,,,
vw,,,,,
wal-mart-stores,Wal-Mart Stores,Walmart,Wal-mart,Wal-Mart,
wal-mart,,,,,
walmart,,,,,
gazprom,Gazprom,,,,
samsung-electronics,Samsung Electronics,Samsung,,,
samsung,,,,,
at&t,AT&T,,,,
att,,,,,
bnp-paribas,BNP Paribas,BNP-Paribas,,,
fortis,,,,,
verizon-communications,Verizon Communications,Verizon,,,
verizon,,,,,
allianz,Allianz,,,,
china-mobile,China Mobile,,,,
sinopec-china-petroleum,Sinopec-China Petroleum,Sinopec,,,
sinopec,,,,,
petrobras,Petrobras,,,,
daimler,Daimler,,,,
microsoft,Microsoft,,,,
axa-group,AXA Group,AXA,AXA-Group,,
axa,,,,,
rosneft,Rosneft,,,,
ibm,IBM,,,,
nestle,Nestle,,,,
mitsubishi-ufj-financial,Mitsubishi UFJ Financial,Mitsubishi UFJ,MUFG,Mitsubishi-UFJ,
mufg,,,,,
vodafone,Vodafone,,,,
eni,Eni,,,,
procter-&-gamble,Procter & Gamble,P&G,,,
p&g,,,,,
johnson-&-johnson,Johnson & Johnson,J & J,J&J,,
j&j,,,,,
american-international-group,American International Group,,,,
aig,,,,,
banco-santander,Banco Santander,Santander,,,
santander,,,,,
bhp-billiton,BHP Billiton,,,,
pfizer,Pfizer,,,,
ford-motor,Ford Motor,Ford,,,
ford,,,,,
bmw-group,BMW Group,BMW,,,
bmw,,,,,
commonwealth-bank,Commonwealth Bank,,,,
edf,EDF,,,,
statoil,Statoil,,,,
google,Google,,,,
siemens,Siemens,,,,
novartis,Novartis,,,,
royal-bank-of-canada,Royal Bank of Canada,,,,
sumitomo-mitsui-financial,Sumitomo Mitsui Financial,Sumitomo Mitsui,,,
sberbank,Sberbank,,,,
goldman-sachs-group,Goldman Sachs Group,Goldman,,,
goldman,,,,,
westpac-banking-group,Westpac Banking Group,Westpac,,,
westpac,,,,,
nippon-telegraph-&-tel,Nippon Telegraph & Tel,Nippon Telegraph,Nippon Telegraph&Tel,,
nippon-telegraph&tel,,,,,
ping-an-insurance-group,Ping An Insurance Group,Ping An Insurance,,,
ping-an-of-china,,,,,
ping-an,,,,,
banco-bradesco,Banco Bradesco,,,,
anheuser-busch-inbev,Anheuser-Busch InBev,Anheuser-Busch,Anheuser Busch,,
bank-of-communications,Bank of Communications,,,,
china-life-insurance,China Life Insurance,,,,
general-motors,General Motors,GM,,,
gm,,,,,
metlife,MetLife,,,,
honda-motor,Honda Motor,Honda,Honda-Motor,,
honda,,,,,
enel,Enel,,,,
basf,BASF,,,,
softbank,Softbank,,,,
national-australia-bank,National Australia Bank,,,,
anz,ANZ,,,,
td-bank-group,TD Bank Group,TD,,,
td-bank,,,,,
conocophillips,ConocoPhillips,Conocophillips,,,
intel,Intel,,,,
ubs,UBS,,,,
hewlett-packard,Hewlett-Packard,HP,Hewlett Packard,,
hp,,,,,
coca-cola,Coca-Cola,,Coca Cola,,
cisco-systems,Cisco Systems,Cisco,,,
cisco,,,,,
lukoil,LukOil,Lukoil,,,
boeing,Boeing,Boeing,,,
zurich-insurance-group,Zurich Insurance Group,Zurich Insurance,,,
zurich-insurance,,,,,
unitedhealth-group,UnitedHealth Group,UnitedHealth,,,
unitedhealth,,,,,
hyundai-motor,Hyundai Motor,Hyundai,,,
hyundai,,,,,
sanofi,Sanofi,,,,
credit-agricole,Credit Agricole,,,,
united-technologies,United Technologies,UTC,,,
roche-holding,Roche Holding,Roche,,,
roche,,,,,
munich-re,Munich Re,Munich-Re,,,
pepsico,PepsiCo,Pepsico,,,
oracle,Oracle,,,,
bank-of-nova-scotia,Bank of Nova Scotia,,,,
cvs-caremark,CVS Caremark,CVS,,,
cvs,,,,,
ing-group,ING Group,ING,,,
ing,,,,,
saudi-basic-industries,Saudi Basic Industries,,,,
merck-&-co,Merck & Co,Merck&Co,Merck & Co,,
merck&co,,,,,
walt-disney,Walt Disney,Disney,,,
disney,,,,,
mizuho-financial,Mizuho Financial,Mizuho Fg,Mizuho-Fg,Mizuho-FG,
mizuho-fg,,,,,
china-merchants-bank,China Merchants Bank,,,,
american-express,American Express,AMEX,American Express,,
banco-do-brasil,Banco do Brasil,,,,
morgan-stanley,Morgan Stanley,,,,
prudential,Prudential,,,,
cnooc,CNOOC,,,,
rio-tinto,Rio Tinto,,,,
unilever,Unilever,,,,
nissan-motor,Nissan Motor,Nissan,,,
nissan,,,,,
credit-suisse-group,Credit Suisse Group,Credit Suisse,,,
credit-suisse,,,,,
e.on,E.ON,E.On,EON,E.on,
generali-group,Generali Group,Generali,,,
generali,,,,,
glaxosmithkline,GlaxoSmithKline,Glaxo,Glaxo Smith Kline,Glaxosmithkline,GlaxoSmithKline
glaxo,,,,,
schlumberger,Schlumberger,,,,
bbva-banco-bilbao-vizcaya,BBVA-Banco Bilbao Vizcaya,BBVA,Banco Bilbao Vizcaya,,
bbva,,,,,
nordea-bank,Nordea Bank,,,,
bayer,Bayer,,,,
china-minsheng-banking,China Minsheng Banking,,,,
caterpillar,Caterpillar,,,,
standard-chartered,Standard Chartered,,,,
china-shenhua-energy,China Shenhua Energy,,,,
shenhua,,,,,
us-bancorp,US Bancorp,,,,
mitsubishi-corp,Mitsubishi Corp,,,,
mitsubishi,,,,,
dow-chemical,Dow Chemical,,,,
ecopetrol,Ecopetrol,,,,
industrial-bank,Industrial Bank,,,,
shanghai-pudong-development,Shanghai Pudong Development,,,,
eads,EADS,,,,
swiss-re,Swiss Re,,,,
iberdrola,Iberdrola,,,,
china-citic-bank,China Citic Bank,Citic,,,
citic,,,,,
reliance-industries,Reliance Industries,,,,
hutchison-whampoa,Hutchison Whampoa,,,,
home-depot,Home Depot,,,,
hitachi,Hitachi,,,,
hon-hai-precision,Hon Hai Precision,,,,
phillips-66,Phillips 66,,,,
capital-one-financial,Capital One Financial,,,,
capital-one,,,,,
aviva,Aviva,,,,
france-telecom,France Telecom,,,,
deutsche-telekom,Deutsche Telekom,DT,,,
dt,,,,,
