,Article,Date,Image,Title
0,https://www.nytimes.com/2017/11/13/business/dealbook/uber-softbank-investment.html,2017-11-13,https://static01.nyt.com/images/2017/11/07/business/07DB-BROADCOM-2/07DB-BROADCOM-2-facebookJumbo.jpg,Qualcomm Rejects Broadcoms Takeover Bid: DealBook Briefing - The New York Times
1,https://www.nytimes.com/2017/11/12/business/uber-softbank-deal.html,2017-11-12,https://static01.nyt.com/images/2017/11/11/business/11ubersoftbank2/11ubersoftbank2-facebookJumbo.jpg,Uber Reaches Deal to Sell Stake to SoftBank - The New York Times
2,https://store.nytimes.com/?action=click&contentCollection=NYT%20Store&contentPlacement=2&module=SectionsNav&pgtype=Homepage&region=TopBar&t=qry542&utm_campaign=NYT-HP&utm_content=hp_browsetree&utm_medium=HPB&utm_source=nytimes&version=BrowseTree,,http://cdn.shopify.com/s/files/1/1722/0531/t/6/assets/nyt-cover.png?11749110385922302564,"
    The New York Times Store  NYTStore
  "
3,https://www.nytimes.com/times-journeys/?utm_source=nytimes&utm_medium=HPLink&utm_content=hp_browsetree&utm_campaign=NYT-HP,,https://secure.gravatar.com/blavatar/500993349399f4f8cd4bcf7108544609?s=200&ts=1510601556,Small Group Tours | Educational Cruises & Travel | Times Journeys | NYTimes.com | Educational Travel | Small Group | Cruises | Shortbreaks | Times Journeys
4,https://www.nytimes.com/subscriptions/Multiproduct/lp5558.html?campaignId=37WXW,,https://www.nytimes.com/subscriptions/Multiproduct/img/laptop_50x50.png,The New York Times: Digital and Home Delivery Subscriptions
5,https://www.nytimes.com/2017/11/13/style/is-spotify-the-new-sephora-pat-mcgrath.html,2017-11-13,https://static01.nyt.com/images/2017/11/13/fashion/13MCGRATH-2/13MCGRATH-2-facebookJumbo.jpg,"On Spotify, Lipsticks Now Dress Up the Music - The New York Times"
6,http://www.businessinsider.com/uber-tops-this-surprising-list-of-the-50-most-desirable-startups-2017-11,,http://static4.businessinsider.com/image/59fb733c58a0c11f008b5ddd-1190-625/linkedins-surprising-list-of-the-50-hottest-startups-for-job-seekers-names-uber-as-no-1.jpg,Uber tops this surprising list of the 50 most desirable startups - Business Insider
7,http://www.businessinsider.com/microsoft-launches-managed-azure-kubernetes-service-2017-10,,http://static5.businessinsider.com/image/59ef8b78fcc77264018b4579-1190-625/microsoft-is-now-trying-to-use-googles-secret-cloud-weapon-against-it.jpg,Microsoft launches managed Azure Kubernetes service - Business Insider
8,http://www.businessinsider.com/ibm-twitter-uber-facebook-jump-into-daca-lawsuit-2017-11,,http://static6.businessinsider.com/image/5369068f6da811590c673a78-1190-625/ibm-facebook-twitter-uber-and-over-100-other-companies-have-jumped-into-a-lawsuit-fighting-trumps-decision-to-end-daca.jpg,"IBM, Twitter, Uber, Facebook jump into DACA lawsuit - Business Insider"
9,http://www.businessinsider.com/google-research-report-on-phishing-keyloggers-and-stolen-passwords-2017-11,,http://static4.businessinsider.com/image/5a09c4fb35876e8c008b5946-1190-625/there-are-19-billion-stolen-passwords-and-usernames-available-on-the-black-market-and-up-to-25-of-them-will-still-work-on-a-google-account.jpg,"Google research report on phishing, keyloggers, and stolen passwords - Business Insider"
10,http://www.businessinsider.com/facebook-google-employee-perks-happiness-satisfaction-2017-11,,http://static6.businessinsider.com/image/57bb1becce38f237008b817a-1190-625/we-compared-facebook-vs-google-to-find-which-company-is-better-to-work-for--and-the-winner-is-clear.jpg,We compared Facebook vs. Google to find which is better to work for - Business Insider
11,http://www.businessinsider.com/salesforce-google-cloud-main-storage-provider-2017-11,,http://static2.businessinsider.com/image/579a818388e4a7d9068bb8b9-1190-625/google-cloud-just-nudged-its-way-into-amazons-territory-as-a-storage-provider-for-salesforce.jpg,Google Cloud just joined Amazon as a 'preferred' storage provider for Salesforce - Business Insider
12,http://www.businessinsider.com/google-job-applications-once-used-hated-comic-sans-font-2017-10,,http://static2.businessinsider.com/image/59f8b47abcf93d20008b5e84-1190-625/google-used-to-write-its-job-applications-in-the-most-hated-font-in-the-world.jpg,Google job applications once used hated comic sans font - Business Insider
13,http://intelligence.businessinsider.com/?utm_source=businessinsider&utm_medium=site_header&utm_term=bi_site_header&utm_content=bi_site_header&utm_campaign=bi_site_header,,https://static-bii.businessinsider.com/image/5988a8394fc3c023008b63bd-720,BI Intelligence - Business Insider Research Subscription Service - All-Access Membership
