Article,Sentiment
HP's stock set a new 52-week high on Friday after delivering a strong profit forecast,POS
This Google engineer teaches his coworkers how to fly airplanes ... and it's changed his career in surprising ways,POS
"Dropbox just signed the biggest office space deal in San Francisco history — 736,000 square feet",POS
"The CEO of GitHub, which caters to coders, thinks automation will bring an end to traditional software programming",POS
"Bill.com is the latest fintech heavyweight, with a $742.8 million valuation and big-name backers",POS
Microsoft is holding a $3.5 million competition to find the next great garage startup — 'like American Idol',POS
Microsoft's dream of Windows on phones is officially dead — now it's time for Plan B,NEG
A top Microsoft exec says the idea it will kill its Surface gadget business is 'so far from the truth',POS
IBM wants lawmakers to protect dreamers by the end of the year and is going all out to persuade them,POS
$1.6 billion startup MongoDB could be worth less than $1 billion when its IPO happens next week,NEG
An underground Silicon Valley sensation just got $20 million from Google's venture arm to take over the world,POS
Amazon Top Exec Roy Price on Leave After Sexual Harassment Allegations,NEG
Couple Finds Hidden Camera in Their Airbnb,NEG
'I’m Not Just Some Silent Victim.' The Model Featured in Dove's Controversial Ad Speaks Out,NEG
Dove's 'Racist' Ad Isn't the First Time the Company Was Criticized for Being Offensive,NEG
IRS Gives Equifax Multimillion-Dollar Deal Despite Massive Data Breach,POS
'You Should Be Fired.' Elizabeth Warren Slams Wells Fargo CEO Over Fake Accounts,NEG
Former Equifax CEO Gets Ripped By Congress Over Massive Data Breach,NEG
Equifax Says 2.5 Million More People May Have Been Affected by Security Breach,NEG
Equifax CEO Richard Smith Ousted Following Massive Data Breach,NEG
'We're Getting Our Roads Back.' London's Black Cab Drivers Hail Uber Ban,NEG
Equifax Got Hacked Nearly Five Months Before It Previously Said,NEG
Top Equifax Executives Announce Immediate Retirement After Massive Data Breach,NEG
Equifax Could Have Fixed the Software Flaw That Led to Massive Data Theft,NEG
Nestlé Just Announced a Huge Blue Bottle Coffee Deal. What's That?,POS
Vanity Fair Editor and Donald Trump Antagonist Graydon Carter Stepping Down,NEG
Edward Felsenthal Chosen To Lead TIME as New Editor,POS
Here's How Much Uber's New CEO Dara Khosrowshahi Is Worth,POS
Samsung Heir Lee Jae-yong Jailed for Five Years for Corruption,NEG
Google Cancels Web Domain Registration Neo-Nazi Site The Daily Stormer,POS
The Next Apple Watch Will Have a Feature Runners Will Love,POS
2 Lawsuits Against KFC Accuse Manager of Sexually Assaulting Teen Employees,NEG
How Toymaker Mattel Plans to Win Over iPad-Obsessed Kids,POS
Pringles Makes Instant Noodles Even Easier to Eat With Ramen-Flavored Chip,POS
How Apple's iPhone Changed These 5 Major Industries,POS
Uber's Next CEO Has to Face This Huge Challenge,NEG
Uber Co-Founder Travis Kalanick Has Resigned as CEO,NEG
