COMPANY LIST,URL TERM
,
China Construction Bank,china-construction-bank
Agricultural Bank of China,agricultural-bank-of-china
JPMorgan Chase,jpmorgan-chase
Berkshire Hathaway,berkshire-hathaway
Exxon Mobil,exxon-mobil
General Electric,general-electric
Wells Fargo,wells-fargo
Bank of China,bank-of-china
PetroChina,petrochina
Royal Dutch Shell,royal-dutch-shell
Toyota Motor,toyota-motor
Bank of America,bank-of-america
HSBC Holdings,hsbc-holdings
Apple,apple
Citigroup,citigroup
BP,bp
Chevron,chevron
Volkswagen Group,volkswagen-group
Wal-Mart Stores,wal-mart-stores
Gazprom,gazprom
Samsung Electronics,samsung-electronics
AT&T,at&t
BNP Paribas,bnp-paribas
Total,total
Verizon Communications,verizon-communications
Allianz,allianz
China Mobile,china-mobile
Sinopec-China Petroleum,sinopec-china-petroleum
Petrobras,petrobras
Daimler,daimler
Microsoft,microsoft
AXA Group,axa-group
Rosneft,rosneft
IBM,ibm
Nestle,nestle
Mitsubishi UFJ Financial,mitsubishi-ufj-financial
Vodafone,vodafone
Eni,eni
Procter & Gamble,procter-&-gamble
Johnson & Johnson,johnson-&-johnson
American International Group,american-international-group
Banco Santander,banco-santander
BHP Billiton,bhp-billiton
Pfizer,pfizer
Ford Motor,ford-motor
BMW Group,bmw-group
Commonwealth Bank,commonwealth-bank
EDF,edf
Statoil,statoil
Google,google
Siemens,siemens
Novartis,novartis
Royal Bank of Canada,royal-bank-of-canada
Sumitomo Mitsui Financial,sumitomo-mitsui-financial
Comcast,comcast
Sberbank,sberbank
Goldman Sachs Group,goldman-sachs-group
Westpac Banking Group,westpac-banking-group
Nippon Telegraph & Tel,nippon-telegraph-&-tel
Ping An Insurance Group,ping-an-insurance-group
Banco Bradesco,banco-bradesco
Anheuser-Busch InBev,anheuser-busch-inbev
Bank of Communications,bank-of-communications
China Life Insurance,china-life-insurance
General Motors,general-motors
MetLife,metlife
Honda Motor,honda-motor
Enel,enel
BASF,basf
Softbank,softbank
National Australia Bank,national-australia-bank
ANZ,anz
TD Bank Group,td-bank-group
ConocoPhillips,conocophillips
Intel,intel
UBS,ubs
Hewlett-Packard,hewlett-packard
Coca-Cola,coca-cola
Cisco Systems,cisco-systems
LukOil,lukoil
Boeing,boeing
Zurich Insurance Group,zurich-insurance-group
UnitedHealth Group,unitedhealth-group
Hyundai Motor,hyundai-motor
Sanofi,sanofi
Credit Agricole,credit-agricole
United Technologies,united-technologies
Roche Holding,roche-holding
Munich Re,munich-re
PepsiCo,pepsico
Oracle,oracle
Bank of Nova Scotia,bank-of-nova-scotia
CVS Caremark,cvs-caremark
ING Group,ing-group
Saudi Basic Industries,saudi-basic-industries
Merck & Co,merck-&-co
Walt Disney,walt-disney
Mizuho Financial,mizuho-financial
China Merchants Bank,china-merchants-bank
American Express,american-express
Banco do Brasil,banco-do-brasil
Morgan Stanley,morgan-stanley
Prudential,prudential
CNOOC,cnooc
Rio Tinto,rio-tinto
Unilever,unilever
Nissan Motor,nissan-motor
Credit Suisse Group,credit-suisse-group
E.ON,e.on
Generali Group,generali-group
GlaxoSmithKline,glaxosmithkline
Schlumberger,schlumberger
BBVA-Banco Bilbao Vizcaya,bbva-banco-bilbao-vizcaya
Nordea Bank,nordea-bank
Bayer,bayer
China Minsheng Banking,china-minsheng-banking
Caterpillar,caterpillar
Standard Chartered,standard-chartered
China Shenhua Energy,china-shenhua-energy
US Bancorp,us-bancorp
Mitsubishi Corp,mitsubishi-corp
Dow Chemical,dow-chemical
Ecopetrol,ecopetrol
Industrial Bank,industrial-bank
Shanghai Pudong Development,shanghai-pudong-development
EADS,eads
Swiss Re,swiss-re
Iberdrola,iberdrola
China Citic Bank,china-citic-bank
Reliance Industries,reliance-industries
Hutchison Whampoa,hutchison-whampoa
Home Depot,home-depot
Hitachi,hitachi
Hon Hai Precision,hon-hai-precision
Phillips 66,phillips-66
Capital One Financial,capital-one-financial
Aviva,aviva
France Telecom,france-telecom
Deutsche Telekom,deutsche-telekom
Bank of Montreal,bank-of-montreal
VINCI,vinci
Suncor Energy,suncor-energy
China Telecom,china-telecom
Occidental Petroleum,occidental-petroleum
"Twenty-First Century Fox, Inc.","twenty-first-century-fox,-inc."
Mitsui & Co,mitsui-&-co
Qualcomm,qualcomm
State Bank of India,state-bank-of-india
Time Warner,time-warner
Philip Morris International,philip-morris-international
Honeywell International,honeywell-international
Express Scripts,express-scripts
United Parcel Service,united-parcel-service
Barclays,barclays
PNC Financial Services,pnc-financial-services
Deutsche Post,deutsche-post
AIA Group,aia-group
Duke Energy,duke-energy
Delta Air Lines,delta-air-lines
Deutsche Bank,deutsche-bank
National Grid,national-grid
ABB,abb
Amgen,amgen
EI du Pont de Nemours,ei-du-pont-de-nemours
Manulife Financial,manulife-financial
British American Tobacco,british-american-tobacco
SAIC Motor,saic-motor
Oil & Natural Gas,oil-&-natural-gas
Walgreen,walgreen
KDDI,kddi
Valero Energy,valero-energy
PTT PCL,ptt-pcl
Travelers Cos,travelers-cos
Canadian Imperial Bank,canadian-imperial-bank
AstraZeneca,astrazeneca
Deere & Co,deere-&-co
Union Pacific,union-pacific
McDonald's,mcdonald's
WellPoint,wellpoint
Aflac,aflac
Tokio Marine Holdings,tokio-marine-holdings
Taiwan Semiconductor,taiwan-semiconductor
Legal & General Group,legal-&-general-group
Christian Dior,christian-dior
China Unicom,china-unicom
3M,3m
Allstate,allstate
Schneider Electric,schneider-electric
DNB,dnb
Lockheed Martin,lockheed-martin
Surgutneftegas,surgutneftegas
Target,target
ACE,ace
Denso,denso
Nomura Holdings,nomura-holdings
Nippon Steel & Sumitomo Metal,nippon-steel-&-sumitomo-metal
Wesfarmers,wesfarmers
China Everbright Bank,china-everbright-bank
SAP,sap
Jardine Matheson,jardine-matheson
Japan Tobacco,japan-tobacco
BG Group,bg-group
Itochu,itochu
Carrefour,carrefour
SABMiller,sabmiller
Bank of New York Mellon,bank-of-new-york-mellon
Continental,continental
EMC,emc
Costco Wholesale,costco-wholesale
BT Group,bt-group
Eli Lilly & Co,eli-lilly-&-co
Seven & I Holdings,seven-&-i-holdings
Canon,canon
Lowe's Cos,lowe's-cos
China State Construction,china-state-construction
