id,User,appended,checked,company,direction,image_url,item_url,subtitle,title,website,website_url
,,TRUE,TRUE,,POS,,,,HP's stock set a new 52-week high on Friday after delivering a strong profit forecast,,
,,TRUE,TRUE,,POS,,,,This Google engineer teaches his coworkers how to fly airplanes ... and it's changed his career in surprising ways,,
,,TRUE,TRUE,,POS,,,,"Dropbox just signed the biggest office space deal in San Francisco history — 736,000 square feet",,
,,TRUE,TRUE,,POS,,,,"The CEO of GitHub, which caters to coders, thinks automation will bring an end to traditional software programming",,
,,TRUE,TRUE,,POS,,,,"Bill.com is the latest fintech heavyweight, with a $742.8 million valuation and big-name backers",,
,,TRUE,TRUE,,POS,,,,Microsoft is holding a $3.5 million competition to find the next great garage startup — 'like American Idol',,
,,TRUE,TRUE,,NEG,,,,Microsoft's dream of Windows on phones is officially dead — now it's time for Plan B,,
,,TRUE,TRUE,,POS,,,,A top Microsoft exec says the idea it will kill its Surface gadget business is 'so far from the truth',,
,,TRUE,TRUE,,POS,,,,IBM wants lawmakers to protect dreamers by the end of the year and is going all out to persuade them,,
,,TRUE,TRUE,,NEG,,,,$1.6 billion startup MongoDB could be worth less than $1 billion when its IPO happens next week,,
,,TRUE,TRUE,,POS,,,,An underground Silicon Valley sensation just got $20 million from Google's venture arm to take over the world,,
,,TRUE,TRUE,,NEG,,,,Amazon Top Exec Roy Price on Leave After Sexual Harassment Allegations,,
,,TRUE,TRUE,,NEG,,,,Couple Finds Hidden Camera in Their Airbnb,,
,,TRUE,TRUE,,NEG,,,,'I’m Not Just Some Silent Victim.' The Model Featured in Dove's Controversial Ad Speaks Out,,
,,TRUE,TRUE,,NEG,,,,Dove's 'Racist' Ad Isn't the First Time the Company Was Criticized for Being Offensive,,
,,TRUE,TRUE,,POS,,,,IRS Gives Equifax Multimillion-Dollar Deal Despite Massive Data Breach,,
,,TRUE,TRUE,,NEG,,,,'You Should Be Fired.' Elizabeth Warren Slams Wells Fargo CEO Over Fake Accounts,,
,,TRUE,TRUE,,NEG,,,,Former Equifax CEO Gets Ripped By Congress Over Massive Data Breach,,
